Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
6,CF-CO-3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
0,0,-0.0008,,,,,,,,,,,,,,,
0.02,0,0.0002,,,,,,,,,,,,,,,
0.04,0,0.0018,,,,,,,,,,,,,,,
0.06,0,-0.001,,,,,,,,,,,,,,,
0.08,0,-0.0023,,,,,,,,,,,,,,,
0.1,0,0.0001,,,,,,,,,,,,,,,
0.12,0,0.0026,,,,,,,,,,,,,,,
0.14,0,0.0007,,,,,,,,,,,,,,,
0.16,0.0004,-0.0012,,,,,,,,,,,,,,,
0.18,0.0004,0.0016,,,,,,,,,,,,,,,
0.2,0.0006,0.0027,,,,,,,,,,,,,,,
0.22,0.0008,-0.0007,,,,,,,,,,,,,,,
0.24,0.001,-0.0009,,,,,,,,,,,,,,,
0.26,0.0015,-0.0017,,,,,,,,,,,,,,,
0.28,0.0019,0.001,,,,,,,,,,,,,,,
0.3,0.0023,0.0015,,,,,,,,,,,,,,,
0.32,0.0029,-0.0022,,,,,,,,,,,,,,,
0.34,0.0033,0.0011,,,,,,,,,,,,,,,
0.36,0.004,0.0016,,,,,,,,,,,,,,,
0.38,0.0044,0.0009,,,,,,,,,,,,,,,
0.4,0.005,0.0007,,,,,,,,,,,,,,,
0.42,0.0056,-0.0003,,,,,,,,,,,,,,,
0.44,0.006,-0.0007,,,,,,,,,,,,,,,
0.46,0.0065,-0.0003,,,,,,,,,,,,,,,
0.48,0.0069,-0.0008,,,,,,,,,,,,,,,
0.5,0.0073,-0.0003,,,,,,,,,,,,,,,
0.52,0.0077,0.0008,,,,,,,,,,,,,,,
0.54,0.0081,0.0008,,,,,,,,,,,,,,,
0.56,0.0085,0.0014,,,,,,,,,,,,,,,
0.58,0.009,0.001,,,,,,,,,,,,,,,
0.6,0.0094,-0.001,,,,,,,,,,,,,,,
0.62,0.0098,0,,,,,,,,,,,,,,,
0.64,0.0102,0.0003,,,,,,,,,,,,,,,
0.66,0.0104,0.0008,,,,,,,,,,,,,,,
0.68,0.0108,-0.0005,,,,,,,,,,,,,,,
0.7,0.0112,-0.0009,,,,,,,,,,,,,,,
0.72,0.0117,0.0018,,,,,,,,,,,,,,,
0.74,0.0121,0.0014,,,,,,,,,,,,,,,
0.76,0.0123,0.0003,,,,,,,,,,,,,,,
0.78,0.0127,0.0006,,,,,,,,,,,,,,,
0.8,0.0131,0.001,,,,,,,,,,,,,,,
0.82,0.0135,0.0023,,,,,,,,,,,,,,,
0.84,0.014,-0.001,,,,,,,,,,,,,,,
0.86,0.0142,-0.0021,,,,,,,,,,,,,,,
0.88,0.0146,0.0007,,,,,,,,,,,,,,,
0.9,0.015,0.0011,,,,,,,,,,,,,,,
0.92,0.0152,0.0005,,,,,,,,,,,,,,,
0.94,0.0156,0.001,,,,,,,,,,,,,,,
0.96,0.016,0.001,,,,,,,,,,,,,,,
0.98,0.0165,0.0018,,,,,,,,,,,,,,,
1,0.0167,0.0017,,,,,,,,,,,,,,,
1.02,0.0171,-0.0009,,,,,,,,,,,,,,,
1.04,0.0173,0.0006,,,,,,,,,,,,,,,
1.06,0.0177,0.0007,,,,,,,,,,,,,,,
1.08,0.0181,-0.0001,,,,,,,,,,,,,,,
1.1,0.0183,0.0012,,,,,,,,,,,,,,,
1.12,0.0187,0.0006,,,,,,,,,,,,,,,
1.14,0.0192,0.0009,,,,,,,,,,,,,,,
1.16,0.0194,0.001,,,,,,,,,,,,,,,
1.18,0.0198,0.0024,,,,,,,,,,,,,,,
1.2,0.02,0.0016,,,,,,,,,,,,,,,
1.22,0.0204,-0.0001,,,,,,,,,,,,,,,
1.24,0.0208,0.0007,,,,,,,,,,,,,,,
1.26,0.0212,0.001,,,,,,,,,,,,,,,
1.28,0.0215,0,,,,,,,,,,,,,,,
1.3,0.0219,0.001,,,,,,,,,,,,,,,
1.32,0.0223,0.0013,,,,,,,,,,,,,,,
1.34,0.0225,0.0021,,,,,,,,,,,,,,,
1.36,0.0229,0.0017,,,,,,,,,,,,,,,
1.38,0.0233,0.0004,,,,,,,,,,,,,,,
1.4,0.0237,0.0001,,,,,,,,,,,,,,,
1.42,0.024,0.0016,,,,,,,,,,,,,,,
1.44,0.0244,0.0005,,,,,,,,,,,,,,,
1.46,0.0246,-0.0005,,,,,,,,,,,,,,,
1.48,0.025,0.0018,,,,,,,,,,,,,,,
1.5,0.0254,0.0013,,,,,,,,,,,,,,,
1.52,0.0256,0.0013,,,,,,,,,,,,,,,
1.54,0.0258,0.0016,,,,,,,,,,,,,,,
