Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
4,CF-UN-4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
0,0,0.0034,,,,,,,,,,,,,,,
0.02,0,0.0003,,,,,,,,,,,,,,,
0.04,0,-0.0012,,,,,,,,,,,,,,,
0.06,0,0.0012,,,,,,,,,,,,,,,
0.08,0,-0.0012,,,,,,,,,,,,,,,
0.1,0,-0.0006,,,,,,,,,,,,,,,
0.12,0,0.002,,,,,,,,,,,,,,,
0.14,0,0.0015,,,,,,,,,,,,,,,
0.16,0.0004,0.0005,,,,,,,,,,,,,,,
0.18,0.0004,-0.0004,,,,,,,,,,,,,,,
0.2,0.0006,0.0021,,,,,,,,,,,,,,,
0.22,0.0008,0.0022,,,,,,,,,,,,,,,
0.24,0.001,0,,,,,,,,,,,,,,,
0.26,0.0015,-0.0009,,,,,,,,,,,,,,,
0.28,0.0019,0.0012,,,,,,,,,,,,,,,
0.3,0.0023,0.0031,,,,,,,,,,,,,,,
0.32,0.0029,0.0009,,,,,,,,,,,,,,,
0.34,0.0035,-0.0011,,,,,,,,,,,,,,,
0.36,0.004,0.001,,,,,,,,,,,,,,,
0.38,0.0046,0.0034,,,,,,,,,,,,,,,
0.4,0.005,0.0018,,,,,,,,,,,,,,,
0.42,0.0056,0.0008,,,,,,,,,,,,,,,
0.44,0.0058,-0.0001,,,,,,,,,,,,,,,
0.46,0.0065,-0.001,,,,,,,,,,,,,,,
0.48,0.0069,0.0016,,,,,,,,,,,,,,,
0.5,0.0073,0.0016,,,,,,,,,,,,,,,
0.52,0.0077,0.0004,,,,,,,,,,,,,,,
0.54,0.0081,0.0007,,,,,,,,,,,,,,,
0.56,0.0085,0.0008,,,,,,,,,,,,,,,
0.58,0.009,0.002,,,,,,,,,,,,,,,
0.6,0.0094,0.0022,,,,,,,,,,,,,,,
0.62,0.0098,0.0004,,,,,,,,,,,,,,,
0.64,0.0102,0.0007,,,,,,,,,,,,,,,
0.66,0.0106,0.0017,,,,,,,,,,,,,,,
0.68,0.011,0.0015,,,,,,,,,,,,,,,
0.7,0.0115,-0.0009,,,,,,,,,,,,,,,
0.72,0.0117,-0.0003,,,,,,,,,,,,,,,
0.74,0.0121,0.0014,,,,,,,,,,,,,,,
0.76,0.0125,0.0025,,,,,,,,,,,,,,,
0.78,0.0129,0.0012,,,,,,,,,,,,,,,
0.8,0.0131,0.0007,,,,,,,,,,,,,,,
0.82,0.0135,0.0022,,,,,,,,,,,,,,,
0.84,0.014,-0.0003,,,,,,,,,,,,,,,
0.86,0.0144,0.0003,,,,,,,,,,,,,,,
0.88,0.0146,0.0012,,,,,,,,,,,,,,,
0.9,0.015,0.0027,,,,,,,,,,,,,,,
0.92,0.0154,0.0026,,,,,,,,,,,,,,,
0.94,0.0156,0.0002,,,,,,,,,,,,,,,
0.96,0.016,0.0009,,,,,,,,,,,,,,,
0.98,0.0162,0.0014,,,,,,,,,,,,,,,
1,0.0167,0.0018,,,,,,,,,,,,,,,
1.02,0.0171,0.0018,,,,,,,,,,,,,,,
1.04,0.0173,0.0009,,,,,,,,,,,,,,,
1.06,0.0177,0.0006,,,,,,,,,,,,,,,
1.08,0.0179,0.0007,,,,,,,,,,,,,,,
1.1,0.0183,0.0009,,,,,,,,,,,,,,,
1.12,0.0187,0.0009,,,,,,,,,,,,,,,
1.14,0.0192,0.0023,,,,,,,,,,,,,,,
