Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
1,CF-UN-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
2.06,0.0346,0.0002,,,,,,,,,,,,,,,
2.08,0.0348,0.0002,,,,,,,,,,,,,,,
2.1,0.0352,0.0022,,,,,,,,,,,,,,,
2.12,0.0354,0.0004,,,,,,,,,,,,,,,
2.14,0.0358,0.0013,,,,,,,,,,,,,,,
2.16,0.036,0.0024,,,,,,,,,,,,,,,
2.18,0.0365,0.0012,,,,,,,,,,,,,,,
2.2,0.0369,0.0001,,,,,,,,,,,,,,,
2.22,0.0371,0.0002,,,,,,,,,,,,,,,
2.24,0.0375,0.0002,,,,,,,,,,,,,,,
2.26,0.0377,0.0018,,,,,,,,,,,,,,,
2.28,0.0379,0.0003,,,,,,,,,,,,,,,
2.3,0.0383,0.0008,,,,,,,,,,,,,,,
2.32,0.0387,0.0026,,,,,,,,,,,,,,,
2.34,0.039,0.0003,,,,,,,,,,,,,,,
2.36,0.0392,0.001,,,,,,,,,,,,,,,
2.38,0.0396,0.0016,,,,,,,,,,,,,,,
2.4,0.04,0.0002,,,,,,,,,,,,,,,
2.42,0.0402,0.0012,,,,,,,,,,,,,,,
2.44,0.0406,0.0006,,,,,,,,,,,,,,,
2.46,0.0408,0.0009,,,,,,,,,,,,,,,
2.48,0.0412,0.0023,,,,,,,,,,,,,,,
2.5,0.0415,-0.0002,,,,,,,,,,,,,,,
2.52,0.0419,0.0023,,,,,,,,,,,,,,,
2.54,0.0423,0.0026,,,,,,,,,,,,,,,
2.56,0.0425,0.0006,,,,,,,,,,,,,,,
2.58,0.0429,0.0015,,,,,,,,,,,,,,,
2.6,0.0433,0.0009,,,,,,,,,,,,,,,
2.62,0.0435,0.0009,,,,,,,,,,,,,,,
2.64,0.044,0.0007,,,,,,,,,,,,,,,
2.66,0.0444,0.0011,,,,,,,,,,,,,,,
2.68,0.0446,0.0011,,,,,,,,,,,,,,,
2.7,0.045,0.0023,,,,,,,,,,,,,,,
2.72,0.0452,0.0017,,,,,,,,,,,,,,,
2.74,0.0456,0.0008,,,,,,,,,,,,,,,
2.76,0.046,0.0015,,,,,,,,,,,,,,,
2.78,0.0462,0.0008,,,,,,,,,,,,,,,
2.8,0.0467,0.002,,,,,,,,,,,,,,,
2.82,0.0471,0.0008,,,,,,,,,,,,,,,
2.84,0.0473,0.0006,,,,,,,,,,,,,,,
2.86,0.0477,0.0013,,,,,,,,,,,,,,,
2.88,0.0479,-0.0006,,,,,,,,,,,,,,,
2.9,0.0483,0.0022,,,,,,,,,,,,,,,
2.92,0.0485,0.0026,,,,,,,,,,,,,,,
2.94,0.0487,0.0006,,,,,,,,,,,,,,,
2.96,0.0492,0.0017,,,,,,,,,,,,,,,
2.98,0.0496,0.0013,,,,,,,,,,,,,,,
3,0.0498,0.0006,,,,,,,,,,,,,,,
3.02,0.0502,0.002,,,,,,,,,,,,,,,
3.04,0.0506,-0.0002,,,,,,,,,,,,,,,
3.06,0.0508,0.0012,,,,,,,,,,,,,,,
3.08,0.0512,0.002,,,,,,,,,,,,,,,
3.1,0.0517,0.0015,,,,,,,,,,,,,,,
3.12,0.0519,0.0028,,,,,,,,,,,,,,,
3.14,0.0523,0.0017,,,,,,,,,,,,,,,
3.16,0.0525,0.0012,,,,,,,,,,,,,,,
3.18,0.0529,0.0014,,,,,,,,,,,,,,,
3.2,0.0533,0.0003,,,,,,,,,,,,,,,
3.22,0.0535,0.0002,,,,,,,,,,,,,,,
3.24,0.054,0.0022,,,,,,,,,,,,,,,
3.26,0.0544,0.0012,,,,,,,,,,,,,,,
3.28,0.0546,0.0022,,,,,,,,,,,,,,,
3.3,0.055,0.0017,,,,,,,,,,,,,,,
3.32,0.0554,0.0025,,,,,,,,,,,,,,,
3.34,0.0558,0.0023,,,,,,,,,,,,,,,
3.36,0.056,0.0013,,,,,,,,,,,,,,,
3.38,0.0565,0.0017,,,,,,,,,,,,,,,
3.4,0.0567,0.0012,,,,,,,,,,,,,,,
3.42,0.0571,0.0016,,,,,,,,,,,,,,,
3.44,0.0573,0.0023,,,,,,,,,,,,,,,
3.46,0.0577,0.0015,,,,,,,,,,,,,,,
3.48,0.0581,0.0007,,,,,,,,,,,,,,,
3.5,0.0583,0.0021,,,,,,,,,,,,,,,
3.52,0.0587,0.0011,,,,,,,,,,,,,,,
3.54,0.0592,0.0007,,,,,,,,,,,,,,,
3.56,0.0596,0.0009,,,,,,,,,,,,,,,
3.58,0.0598,0.0002,,,,,,,,,,,,,,,
3.6,0.0602,0.0024,,,,,,,,,,,,,,,
3.62,0.0606,0.0021,,,,,,,,,,,,,,,
3.64,0.061,0.0006,,,,,,,,,,,,,,,
3.66,0.0612,0.0023,,,,,,,,,,,,,,,
3.68,0.0617,0.0008,,,,,,,,,,,,,,,
3.7,0.0621,0.0017,,,,,,,,,,,,,,,
3.72,0.0623,0.002,,,,,,,,,,,,,,,
3.74,0.0627,0.001,,,,,,,,,,,,,,,
3.76,0.0631,0.0015,,,,,,,,,,,,,,,
3.78,0.0633,0.0012,,,,,,,,,,,,,,,
3.8,0.0637,0.0011,,,,,,,,,,,,,,,
3.82,0.0642,0.0012,,,,,,,,,,,,,,,
3.84,0.0644,0.0016,,,,,,,,,,,,,,,
3.86,0.0646,0.0014,,,,,,,,,,,,,,,
3.88,0.065,0.0013,,,,,,,,,,,,,,,
3.9,0.0654,0.0013,,,,,,,,,,,,,,,
3.92,0.0656,0.001,,,,,,,,,,,,,,,
3.94,0.066,0.0016,,,,,,,,,,,,,,,
3.96,0.0662,0.0008,,,,,,,,,,,,,,,
3.98,0.0667,0.0003,,,,,,,,,,,,,,,
4,0.0669,0.0015,,,,,,,,,,,,,,,
