Results Table 1,,,,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,,,,
3,PETG-UN-4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,
0,0,0.0042,,,,,,,,,,,,,,,,,,
0.02,0,-0.0006,,,,,,,,,,,,,,,,,,
0.04,0,0.0001,,,,,,,,,,,,,,,,,,
0.06,0,-0.0019,,,,,,,,,,,,,,,,,,
0.08,0,0.0006,,,,,,,,,,,,,,,,,,
0.1,0,0.0011,,,,,,,,,,,,,,,,,,
0.12,0.0004,0,,,,,,,,,,,,,,,DISP,CELL,AVG,STDEV
0.14,0.0004,0.0035,,,,,,,,,,,,,,START,60,180010,0.998204932,0.287473733
0.16,0.0004,0.0013,,,,,,,,,,,,,,STOP,85.4,256211,,
0.18,0.0004,0.0013,,,,,,,,,,,,,,,,,,
0.2,0.0004,-0.0001,,,,,,,,,,,,,,,,,,
0.22,0.0006,0.0025,,,,,,,,,,,,,,,,,,
0.24,0.0008,0,,,,,,,,,,,,,,,,,,
0.26,0.001,-0.0006,,,,,,,,,,,,,,,,,,
0.28,0.0017,0.0006,,,,,,,,,,,,,,,,,,
0.3,0.0021,0.0013,,,,,,,,,,,,,,,,,,
0.32,0.0027,0.0016,,,,,,,,,,,,,,,,,,
0.34,0.0033,-0.001,,,,,,,,,,,,,,,,,,
0.36,0.0037,0.0021,,,,,,,,,,,,,,,,,,
0.38,0.0044,0.0017,,,,,,,,,,,,,,,,,,
0.4,0.0048,0.0013,,,,,,,,,,,,,,,,,,
0.42,0.0054,0.0013,,,,,,,,,,,,,,,,,,
0.44,0.0058,0.0001,,,,,,,,,,,,,,,,,,
0.46,0.0065,-0.0003,,,,,,,,,,,,,,,,,,
0.48,0.0069,-0.0001,,,,,,,,,,,,,,,,,,
0.5,0.0073,-0.0008,,,,,,,,,,,,,,,,,,
0.52,0.0077,0.0013,,,,,,,,,,,,,,,,,,
0.54,0.0081,0.0018,,,,,,,,,,,,,,,,,,
0.56,0.0085,0.0014,,,,,,,,,,,,,,,,,,
0.58,0.0087,0.0025,,,,,,,,,,,,,,,,,,
0.6,0.0092,0.0006,,,,,,,,,,,,,,,,,,
0.62,0.0096,0.0015,,,,,,,,,,,,,,,,,,
0.64,0.01,-0.001,,,,,,,,,,,,,,,,,,
0.66,0.0104,0.0003,,,,,,,,,,,,,,,,,,
0.68,0.0108,0.0002,,,,,,,,,,,,,,,,,,
0.7,0.011,0.0013,,,,,,,,,,,,,,,,,,
0.72,0.0115,0.0001,,,,,,,,,,,,,,,,,,
0.74,0.0119,0.0007,,,,,,,,,,,,,,,,,,
0.76,0.0123,0.002,,,,,,,,,,,,,,,,,,
0.78,0.0127,-0.0004,,,,,,,,,,,,,,,,,,
0.8,0.0129,0.002,,,,,,,,,,,,,,,,,,
0.82,0.0133,0.0002,,,,,,,,,,,,,,,,,,
0.84,0.0137,0.0016,,,,,,,,,,,,,,,,,,
0.86,0.0142,-0.0006,,,,,,,,,,,,,,,,,,
0.88,0.0146,-0.0006,,,,,,,,,,,,,,,,,,
0.9,0.0148,0.0008,,,,,,,,,,,,,,,,,,
0.92,0.0152,0.0004,,,,,,,,,,,,,,,,,,
0.94,0.0156,0.0011,,,,,,,,,,,,,,,,,,
0.96,0.0158,0.0005,,,,,,,,,,,,,,,,,,
0.98,0.0162,0.001,,,,,,,,,,,,,,,,,,
1,0.0167,0.0007,,,,,,,,,,,,,,,,,,
1.02,0.0169,0.0018,,,,,,,,,,,,,,,,,,
1.04,0.0173,-0.0005,,,,,,,,,,,,,,,,,,
1.06,0.0177,0.0018,,,,,,,,,,,,,,,,,,
1.08,0.0181,0.0006,,,,,,,,,,,,,,,,,,
1.1,0.0183,0.002,,,,,,,,,,,,,,,,,,
1.12,0.0185,0.0018,,,,,,,,,,,,,,,,,,
1.14,0.019,0.0021,,,,,,,,,,,,,,,,,,
1.16,0.0192,0.0012,,,,,,,,,,,,,,,,,,
1.18,0.0196,0.0011,,,,,,,,,,,,,,,,,,
