Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
2.08,0.0348,0.0018,,,,,,,,,,,,,,,
2.1,0.035,0.0009,,,,,,,,,,,,,,,
2.12,0.0354,0.0013,,,,,,,,,,,,,,,
2.14,0.0358,0.0019,,,,,,,,,,,,,,,
2.16,0.036,0.0014,,,,,,,,,,,,,,,
2.18,0.0365,0.0035,,,,,,,,,,,,,,,
2.2,0.0369,0.0017,,,,,,,,,,,,,,,
2.22,0.0371,0.0016,,,,,,,,,,,,,,,
2.24,0.0375,0.0021,,,,,,,,,,,,,,,
2.26,0.0377,0.0018,,,,,,,,,,,,,,,
2.28,0.0381,0.0013,,,,,,,,,,,,,,,
2.3,0.0385,0.0013,,,,,,,,,,,,,,,
2.32,0.0387,0.001,,,,,,,,,,,,,,,
2.34,0.0392,0.0028,,,,,,,,,,,,,,,
2.36,0.0394,0.0033,,,,,,,,,,,,,,,
2.38,0.0398,0.0011,,,,,,,,,,,,,,,
2.4,0.04,0.0019,,,,,,,,,,,,,,,
2.42,0.0404,0.0033,,,,,,,,,,,,,,,
2.44,0.0406,0.0005,,,,,,,,,,,,,,,
2.46,0.041,0.0014,,,,,,,,,,,,,,,
2.48,0.0415,0.0017,,,,,,,,,,,,,,,
2.5,0.0417,0.002,,,,,,,,,,,,,,,
2.52,0.0421,0.0027,,,,,,,,,,,,,,,
2.54,0.0423,0.0019,,,,,,,,,,,,,,,
2.56,0.0427,0.0029,,,,,,,,,,,,,,,
2.58,0.0429,0.003,,,,,,,,,,,,,,,
2.6,0.0433,0.0021,,,,,,,,,,,,,,,
2.62,0.0435,0.003,,,,,,,,,,,,,,,
2.64,0.0437,0.0025,,,,,,,,,,,,,,,
2.66,0.0442,0.002,,,,,,,,,,,,,,,
2.68,0.0446,0.0014,,,,,,,,,,,,,,,
2.7,0.0448,0.002,,,,,,,,,,,,,,,
2.72,0.0452,0.0021,,,,,,,,,,,,,,,
2.74,0.0454,0.0025,,,,,,,,,,,,,,,
2.76,0.0458,0.0022,,,,,,,,,,,,,,,
2.78,0.0462,0.0033,,,,,,,,,,,,,,,
2.8,0.0465,0.0023,,,,,,,,,,,,,,,
2.82,0.0467,0.001,,,,,,,,,,,,,,,
2.84,0.0471,0.0031,,,,,,,,,,,,,,,
2.86,0.0475,0.0006,,,,,,,,,,,,,,,
2.88,0.0477,0.0021,,,,,,,,,,,,,,,
2.9,0.0481,0.0021,,,,,,,,,,,,,,,
2.92,0.0485,0.0005,,,,,,,,,,,,,,,
2.94,0.0487,0.002,,,,,,,,,,,,,,,
2.96,0.0492,0.0028,,,,,,,,,,,,,,,
2.98,0.0494,0.0025,,,,,,,,,,,,,,,
3,0.0498,0.0023,,,,,,,,,,,,,,,
3.02,0.0502,0.0017,,,,,,,,,,,,,,,
3.04,0.0506,0.0016,,,,,,,,,,,,,,,
3.06,0.0508,0.0018,,,,,,,,,,,,,,,
3.08,0.0512,0.0004,,,,,,,,,,,,,,,
3.1,0.0515,0.0024,,,,,,,,,,,,,,,
3.12,0.0519,0.004,,,,,,,,,,,,,,,
3.14,0.0521,0.0026,,,,,,,,,,,,,,,
3.16,0.0525,0.0027,,,,,,,,,,,,,,,
3.18,0.0527,0.0026,,,,,,,,,,,,,,,
3.2,0.0531,0.0015,,,,,,,,,,,,,,,
3.22,0.0533,0.0021,,,,,,,,,,,,,,,
3.24,0.0537,0.0005,,,,,,,,,,,,,,,
3.26,0.054,0.0022,,,,,,,,,,,,,,,
3.28,0.0544,0.002,,,,,,,,,,,,,,,
3.3,0.0548,0.0011,,,,,,,,,,,,,,,
3.32,0.055,0.004,,,,,,,,,,,,,,,
3.34,0.0554,0.0033,,,,,,,,,,,,,,,
3.36,0.0558,0.0029,,,,,,,,,,,,,,,
3.38,0.056,0.0028,,,,,,,,,,,,,,,
3.4,0.0565,0.0021,,,,,,,,,,,,,,,
3.42,0.0569,0.0018,,,,,,,,,,,,,,,
3.44,0.0571,0.0018,,,,,,,,,,,,,,,
3.46,0.0575,0.0013,,,,,,,,,,,,,,,
3.48,0.0579,0.002,,,,,,,,,,,,,,,
3.5,0.0581,0.0013,,,,,,,,,,,,,,,
