Time,Displacement,Force,,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,,
1.62,0.0269,0.0006,,,,,,,,,,,,,,,,,,,
1.64,0.0273,0.0008,,,,,,,,,,,,,,,,,,,
1.66,0.0275,0.0008,,,,,,,,,,,,,,,,,,,
1.68,0.0279,0.0005,,,,,,,,,,,,,,,,,,,
1.7,0.0281,0.0006,,,,,,,,,,,,,,,,,,,
1.72,0.0285,-0.0004,,,,,,,,,,,,,,,,,,,
1.74,0.029,0.0018,,,,,,,,,,,,,,,,,,,
1.76,0.0292,0.0004,,,,,,,,,,,,,,,,,,,
1.78,0.0294,-0.0003,,,,,,,,,,,,,,,,,,,
1.8,0.0298,-0.0005,,,,,,,,,,,,,,,,,,,
1.82,0.0302,0.0001,,,,,,,,,,,,,,,,,,,
1.84,0.0304,0.0009,,,,,,,,,,,,,,,,,,,
1.86,0.0306,0.0002,,,,,,,,,,,,,,,,,,,
1.88,0.031,0,,,,,,,,,,,,,,,,,,,
1.9,0.0315,0.0011,,,,,,,,,,,,,,,,,,,
1.92,0.0317,-0.0006,,,,,,,,,,,,,,,,,,,
1.94,0.0321,0.0012,,,,,,,,,,,,,,,,,,,
1.96,0.0325,0.0003,,,,,,,,,,,,,,,,,,,
1.98,0.0329,-0.0002,,,,,,,,,,,,,,,,,,,
2,0.0331,0,,,,,,,,,,,,,,,,,,,
2.02,0.0335,0.0003,,,,,,,,,,,,,,,,,,,
2.04,0.0337,0.0003,,,,,,,,,,,,,,,,,,,
2.06,0.0342,-0.0005,,,,,,,,,,,,,,,,,,,
2.08,0.0346,0.0005,,,,,,,,,,,,,,,,,,,
2.1,0.0348,0.0003,,,,,,,,,,,,,,,,,,,
2.12,0.0352,0.0014,,,,,,,,,,,,,,,,,,,
2.14,0.0356,0.0004,,,,,,,,,,,,,,,,,,,
2.16,0.0358,0,,,,,,,,,,,,,,,,,,,
2.18,0.0362,0.0006,,,,,,,,,,,,,,,,,,,
2.2,0.0365,-0.0015,,,,,,,,,,,,,,,,,,,
2.22,0.0369,-0.0003,,,,,,,,,,,,,,,,,,,
2.24,0.0373,0.0007,,,,,,,,,,,,,,,,,,,
2.26,0.0375,0.0006,,,,,,,,,,,,,,,,,,,
2.28,0.0379,0.0001,,,,,,,,,,,,,,,,,,,
2.3,0.0383,-0.0001,,,,,,,,,,,,,,,,,,,
2.32,0.0385,0.0007,,,,,,,,,,,,,,,,,,,
2.34,0.039,-0.0009,,,,,,,,,,,,,,,,,,,
2.36,0.0392,0.0003,,,,,,,,,,,,,,,,,,,
2.38,0.0396,0.0011,,,,,,,,,,,,,,,,,,,
2.4,0.04,-0.0005,,,,,,,,,,,,,,,,,,,
2.42,0.0402,-0.0004,,,,,,,,,,,,,,,,,,,
2.44,0.0404,0.0004,,,,,,,,,,,,,,,,,,,
2.46,0.0408,0.0007,,,,,,,,,,,,,,,,,,,
2.48,0.0412,-0.0008,,,,,,,,,,,,,,,,,,,
2.5,0.0415,-0.0006,,,,,,,,,,,,,,,,,,,
2.52,0.0419,0.0005,,,,,,,,,,,,,,,,,,,
2.54,0.0421,0.0009,,,,,,,,,,,,,,,,,,,
2.56,0.0425,0.0004,,,,,,,,,,,,,,,,,,,
2.58,0.0427,-0.0009,,,,,,,,,,,,,,,,,,,
2.6,0.0431,0,,,,,,,,,,,,,,,,,,,
2.62,0.0435,0.0006,,,,,,,,,,,,,,,,,,,
2.64,0.0437,-0.0003,,,,,,,,,,,,,,,,,,,
2.66,0.0442,0.0011,,,,,,,,,,,,,,,,,,,
2.68,0.0446,-0.0005,,,,,,,,,,,,,,,,,,,
2.7,0.045,0,,,,,,,,,,,,,,,,,,,
2.72,0.0452,0.0008,,,,,,,,,,,,,,,,,,,
2.74,0.0456,0.0009,,,,,,,,,,,,,,,,,,,
2.76,0.046,0.0004,,,,,,,,,,,,,,,,,,,
2.78,0.0465,0.0007,,,,,,,,,,,,,,,,,,,
2.8,0.0467,-0.0001,,,,,,,,,,,,,,,,,,,
2.82,0.0471,0.0004,,,,,,,,,,,,,,,,,,,
2.84,0.0475,0.0008,,,,,,,,,,,,,,,,,,,
2.86,0.0477,0.0004,,,,,,,,,,,,,,,,,,,
2.88,0.0481,0.0015,,,,,,,,,,,,,,,,,,,
2.9,0.0485,0.0002,,,,,,,,,,,,,,,,,,,
2.92,0.0487,0.0005,,,,,,,,,,,,,,,,,,,
2.94,0.0492,0.0014,,,,,,,,,,,,,,,,,,,
2.96,0.0496,0.001,,,,,,,,,,,,,,,,,,,
2.98,0.05,0.0007,,,,,,,,,,,,,,,,,,,
3,0.0502,0.0002,,,,,,,,,,,,,,,,,,,
3.02,0.0506,-0.0002,,,,,,,,,,,,,,,,,,,
3.04,0.0508,0.0009,,,,,,,,,,,,,,,,,,,
3.06,0.0512,0.0001,,,,,,,,,,,,,,,,,,,
3.08,0.0515,0.0011,,,,,,,,,,,,,,,,,,,
3.1,0.0519,0.0008,,,,,,,,,,,,,,,,,,,
3.12,0.0521,0,,,,,,,,,,,,,,,,,,,
3.14,0.0525,0.0006,,,,,,,,,,,,,,,,,,,
3.16,0.0529,0.0006,,,,,,,,,,,,,,,,,,,
3.18,0.0533,0.0009,,,,,,,,,,,,,,,,,,,
3.2,0.0535,0.0003,,,,,,,,,,,,,,,,,,,
3.22,0.054,0.0011,,,,,,,,,,,,,,,,,,,
3.24,0.0542,0.0004,,,,,,,,,,,,,,,,,,,
3.26,0.0546,0.0025,,,,,,,,,,,,,,,,,,,
3.28,0.055,0.0004,,,,,,,,,,,,,,,,,,,
3.3,0.0554,-0.0002,,,,,,,,,,,,,,,,,,,
3.32,0.0556,0.0026,,,,,,,,,,,,,,,,,,,
3.34,0.056,-0.0012,,,,,,,,,,,,,,,,,,,
3.36,0.0565,0.0007,,,,,,,,,,,,,,,,,,,
3.38,0.0567,0.0009,,,,,,,,,,,,,,,,,,,
3.4,0.0571,-0.0003,,,,,,,,,,,,,,,,,,,
3.42,0.0573,0.0012,,,,,,,,,,,,,,,,,,,
3.44,0.0577,0.0001,,,,,,,,,,,,,,,,,,,
3.46,0.0579,0.0021,,,,,,,,,,,,,,,,,,,
